PADStatus,NVCClass,ManageName,nCellSum
2,Recently Disturbed or Modified,State Department of Land,8478
2,Recently Disturbed or Modified,State Park and Recreation,114305
2,Recently Disturbed or Modified,U.S. Fish & Wildlife Service,892723
3,Agricultural & Developed Vegetation,Other,3204
3,Agricultural & Developed Vegetation,Other or Unknown State Land,3313469
3,Aquatic Vegetation,City Land,45
3,Desert & Semi-Desert,Agricultural Research Service,715792
3,Desert & Semi-Desert,Other or Unknown Federal Land,32
3,Desert & Semi-Desert,Regional Agency Land,5582
3,Desert & Semi-Desert,State Park and Recreation,2593236
3,Developed & Other Human Use,Bureau of Land Management,4312193
3,Developed & Other Human Use,State Land Board,687491
3,Forest & Woodland,American Indian Lands,17952
3,Forest & Woodland,City Land,2416455
3,Forest & Woodland,Other or Unknown Local Government,4292
3,Introduced & Semi Natural Vegetation,American Indian Lands,19
3,Introduced & Semi Natural Vegetation,Department of Defense,17
3,Introduced & Semi Natural Vegetation,Private,4758
3,Introduced & Semi Natural Vegetation,Regional Water Districts,2372
3,Introduced & Semi Natural Vegetation,State Department of Land,296200
3,Introduced & Semi Natural Vegetation,Tennessee Valley Authority,532
3,Nonvascular & Sparse Vascular Rock Vegetation,City Land,7761
3,Nonvascular & Sparse Vascular Rock Vegetation,Regional Agency Land,216
3,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Conservation,10648
3,Open Rock Vegetation,County Land,445
3,Open Rock Vegetation,State Fish and Wildlife,13243
3,Open Rock Vegetation,U.S. Fish & Wildlife Service,55
3,Open Water,City Land,307344
3,Open Water,State Department of Conservation,246692
3,Polar & High Montane Scrub, Grassland & Barrens,Bureau of Reclamation,49
3,Polar & High Montane Scrub, Grassland & Barrens,Forest Service,15513522
3,Polar & High Montane Scrub, Grassland & Barrens,National Park Service,2452
3,Recently Disturbed or Modified,Department of Defense,12557
3,Recently Disturbed or Modified,Forest Service,36736832
1,Agricultural & Developed Vegetation,Other or Unknown State Land,341118
1,Agricultural & Developed Vegetation,Unknown,117153
1,Aquatic Vegetation,Bureau of Land Management,38
1,Desert & Semi-Desert,National Park Service,63620862
1,Developed & Other Human Use,Non-Governmental Organization,38571
1,Introduced & Semi Natural Vegetation,Army Corps of Engineers,54
1,Introduced & Semi Natural Vegetation,National Park Service,202736
1,Introduced & Semi Natural Vegetation,State Department of Natural Resources,682
1,Nonvascular & Sparse Vascular Rock Vegetation,National Park Service,509756
1,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Conservation,2673
1,Nonvascular & Sparse Vascular Rock Vegetation,State Park and Recreation,24055
1,Nonvascular & Sparse Vascular Rock Vegetation,Tennessee Valley Authority,14
1,Open Rock Vegetation,State Fish and Wildlife,11
1,Open Rock Vegetation,U.S. Fish & Wildlife Service,30244
1,Open Water,State Department of Conservation,99207
1,Open Water,State Park and Recreation,187786
1,Polar & High Montane Scrub, Grassland & Barrens,National Park Service,9719640
1,Polar & High Montane Scrub, Grassland & Barrens,State Department of Natural Resources,1422
1,Recently Disturbed or Modified,Forest Service,10506912
1,Recently Disturbed or Modified,Private,51963
1,Shrub & Herb Vegetation,Bureau of Land Management,2629246
1,Shrub & Herb Vegetation,Non-Governmental Organization,117635
1,Shrub & Herb Vegetation,State Land Board,380
2,Agricultural & Developed Vegetation,Army Corps of Engineers,44127
2,Agricultural & Developed Vegetation,Joint,293854
2,Agricultural & Developed Vegetation,National Park Service,305626
2,Agricultural & Developed Vegetation,State Department of Natural Resources,814970
2,Aquatic Vegetation,U.S. Fish & Wildlife Service,2838
2,Desert & Semi-Desert,Bureau of Reclamation,8188
2,Desert & Semi-Desert,Private,46332
2,Developed & Other Human Use,Agricultural Research Service,3
2,Developed & Other Human Use,Natural Resources Conservation Service,1355176
2,Developed & Other Human Use,Other or Unknown Federal Land,385
2,Developed & Other Human Use,Regional Agency Land,42712
2,Forest & Woodland,Department of Defense,3670
2,Forest & Woodland,Natural Resources Conservation Service,17569568
2,Forest & Woodland,Other or Unknown Federal Land,861
2,Forest & Woodland,Regional Agency Land,180608
2,Forest & Woodland,State Department of Conservation,10443431
2,Forest & Woodland,State Park and Recreation,4502491
2,Introduced & Semi Natural Vegetation,Private,22155
2,Introduced & Semi Natural Vegetation,Unknown,57099
2,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Reclamation,55
2,Nonvascular & Sparse Vascular Rock Vegetation,Forest Service,26798
2,Nonvascular & Sparse Vascular Rock Vegetation,Non-Governmental Organization,25013
2,Nonvascular & Sparse Vascular Rock Vegetation,Private,37788
2,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Land,9852
2,Open Rock Vegetation,City Land,651
2,Open Rock Vegetation,Regional Water Districts,3084
2,Open Rock Vegetation,State Department of Conservation,277
2,Open Water,Bureau of Indian Affairs,575
2,Open Water,Forest Service,1063076
2,Open Water,Non-Governmental Organization,463212
2,Open Water,State Department of Land,11000
2,Polar & High Montane Scrub, Grassland & Barrens,Other or Unknown State Land,1533
2,Recently Disturbed or Modified,Army Corps of Engineers,22785
2,Recently Disturbed or Modified,County Land,52100
2,Recently Disturbed or Modified,Other or Unknown State Land,171809
2,Recently Disturbed or Modified,State Department of Natural Resources,1006352
2,Shrub & Herb Vegetation,Agricultural Research Service,98
2,Shrub & Herb Vegetation,Natural Resources Conservation Service,6653672
2,Shrub & Herb Vegetation,Other or Unknown Federal Land,8970
2,Shrub & Herb Vegetation,Regional Agency Land,455526
2,Shrub & Herb Vegetation,State Park and Recreation,743567
3,Agricultural & Developed Vegetation,Bureau of Land Management,1630492
3,Agricultural & Developed Vegetation,City Land,385014
3,Agricultural & Developed Vegetation,County Land,318055
3,Agricultural & Developed Vegetation,Other or Unknown Local Government,498
3,Agricultural & Developed Vegetation,State Land Board,2334375
3,Aquatic Vegetation,Forest Service,284
3,Developed & Other Human Use,Forest Service,10253732
3,Developed & Other Human Use,Other,3005
3,Developed & Other Human Use,Private,226932
3,Developed & Other Human Use,State Department of Land,85836
3,Forest & Woodland,Bureau of Reclamation,490430
3,Forest & Woodland,Unknown,4941192
3,Introduced & Semi Natural Vegetation,Joint,1791
3,Introduced & Semi Natural Vegetation,State Fish and Wildlife,46989
3,Introduced & Semi Natural Vegetation,U.S. Fish & Wildlife Service,29233
3,Nonvascular & Sparse Vascular Rock Vegetation,Army Corps of Engineers,539
1,Agricultural & Developed Vegetation,Regional Water Districts,284
1,Desert & Semi-Desert,Bureau of Land Management,29899199
1,Desert & Semi-Desert,Other or Unknown State Land,29218
1,Desert & Semi-Desert,State Department of Natural Resources,31725
1,Desert & Semi-Desert,State Land Board,5142
1,Developed & Other Human Use,National Park Service,605908
1,Developed & Other Human Use,Regional Water Districts,2708
1,Developed & Other Human Use,State Fish and Wildlife,4055
1,Forest & Woodland,Forest Service,185679068
1,Forest & Woodland,Joint,121595
1,Forest & Woodland,Non-Governmental Organization,642885
1,Forest & Woodland,Private,2203362
1,Introduced & Semi Natural Vegetation,Other or Unknown State Land,4107
1,Nonvascular & Sparse Vascular Rock Vegetation,City Land,313
1,Open Water,City Land,6683
1,Recently Disturbed or Modified,State Fish and Wildlife,3943
1,Shrub & Herb Vegetation,National Park Service,13922126
1,Shrub & Herb Vegetation,Regional Water Districts,624
1,Shrub & Herb Vegetation,State Fish and Wildlife,6063
2,Agricultural & Developed Vegetation,Bureau of Indian Affairs,359
2,Agricultural & Developed Vegetation,Bureau of Land Management,340755
2,Agricultural & Developed Vegetation,Forest Service,341504
2,Agricultural & Developed Vegetation,Non-Governmental Organization,1805372
2,Agricultural & Developed Vegetation,Private,296397
2,Agricultural & Developed Vegetation,State Land Board,2760
2,Aquatic Vegetation,State Park and Recreation,411
2,Desert & Semi-Desert,Agricultural Research Service,1185
2,Desert & Semi-Desert,State Park and Recreation,643442
2,Desert & Semi-Desert,U.S. Fish & Wildlife Service,12303802
2,Developed & Other Human Use,Bureau of Reclamation,4203
2,Developed & Other Human Use,Forest Service,2293172
2,Developed & Other Human Use,Private,200832
2,Developed & Other Human Use,State Department of Conservation,278440
2,Forest & Woodland,City Land,1073688
2,Introduced & Semi Natural Vegetation,Bureau of Reclamation,6590
2,Introduced & Semi Natural Vegetation,Other,91
2,Introduced & Semi Natural Vegetation,Other or Unknown Federal Land,658
2,Introduced & Semi Natural Vegetation,State Park and Recreation,30105
2,Nonvascular & Sparse Vascular Rock Vegetation,Regional Agency Land,3052
2,Open Rock Vegetation,Bureau of Land Management,665986
2,Open Rock Vegetation,Bureau of Reclamation,3
2,Open Rock Vegetation,Joint,8150
2,Open Rock Vegetation,State Land Board,3
2,Open Rock Vegetation,State Park and Recreation,7379
2,Open Rock Vegetation,Tennessee Valley Authority,93
2,Open Water,Bureau of Land Management,227096
2,Open Water,Department of Defense,87
2,Open Water,Joint,149816
2,Open Water,State Land Board,4584
2,Open Water,Tennessee Valley Authority,5808
2,Polar & High Montane Scrub, Grassland & Barrens,State Park and Recreation,1233
2,Recently Disturbed or Modified,Department of Defense,29
2,Recently Disturbed or Modified,Tennessee Valley Authority,156
2,Recently Disturbed or Modified,Unknown,574860
2,Shrub & Herb Vegetation,Bureau of Reclamation,85347
2,Shrub & Herb Vegetation,Forest Service,3136118
2,Shrub & Herb Vegetation,Private,474510
2,Shrub & Herb Vegetation,State Department of Conservation,426535
3,Agricultural & Developed Vegetation,Army Corps of Engineers,25520
3,Agricultural & Developed Vegetation,Department of Defense,5299
3,Agricultural & Developed Vegetation,Joint,189826
3,Agricultural & Developed Vegetation,Other or Unknown Federal Land,216
3,Agricultural & Developed Vegetation,State Park and Recreation,288901
3,Agricultural & Developed Vegetation,Tennessee Valley Authority,190182
3,Aquatic Vegetation,State Park and Recreation,3870
3,Desert & Semi-Desert,State Fish and Wildlife,1330137
3,Developed & Other Human Use,Agricultural Research Service,2608
3,Developed & Other Human Use,Army Corps of Engineers,4747
3,Developed & Other Human Use,Bureau of Reclamation,177137
3,Developed & Other Human Use,Joint,290038
3,Forest & Woodland,Natural Resources Conservation Service,272124
3,Forest & Woodland,Regional Agency Land,649512
3,Forest & Woodland,U.S. Fish & Wildlife Service,833540
3,Introduced & Semi Natural Vegetation,Agricultural Research Service,273
3,Introduced & Semi Natural Vegetation,Non-Governmental Organization,36020
3,Introduced & Semi Natural Vegetation,Other,179
3,Introduced & Semi Natural Vegetation,Unknown,37959
3,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Land Management,302676
3,Nonvascular & Sparse Vascular Rock Vegetation,Forest Service,207472
3,Nonvascular & Sparse Vascular Rock Vegetation,Non-Governmental Organization,21441
3,Nonvascular & Sparse Vascular Rock Vegetation,Private,2832
3,Nonvascular & Sparse Vascular Rock Vegetation,State Land Board,1055
1,Agricultural & Developed Vegetation,City Land,43076
1,Aquatic Vegetation,State Department of Natural Resources,21
1,Desert & Semi-Desert,County Land,9123
1,Desert & Semi-Desert,State Fish and Wildlife,2109
1,Developed & Other Human Use,Other,6
1,Forest & Woodland,Army Corps of Engineers,97608
1,Forest & Woodland,Other or Unknown State Land,1588568
1,Forest & Woodland,State Department of Natural Resources,1834605
1,Introduced & Semi Natural Vegetation,Bureau of Land Management,93381
1,Introduced & Semi Natural Vegetation,City Land,1970
1,Nonvascular & Sparse Vascular Rock Vegetation,Joint,430
1,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Natural Resources,3018
1,Nonvascular & Sparse Vascular Rock Vegetation,Unknown,261
1,Open Rock Vegetation,National Park Service,1276634
1,Open Rock Vegetation,Other or Unknown State Land,597
1,Open Water,County Land,14680
1,Open Water,Other or Unknown State Land,180278
1,Open Water,State Department of Natural Resources,62241
1,Open Water,Unknown,9789
1,Polar & High Montane Scrub, Grassland & Barrens,State Department of Conservation,18969
1,Polar & High Montane Scrub, Grassland & Barrens,State Fish and Wildlife,62
1,Polar & High Montane Scrub, Grassland & Barrens,U.S. Fish & Wildlife Service,2388
1,Recently Disturbed or Modified,Bureau of Land Management,29211
1,Recently Disturbed or Modified,U.S. Fish & Wildlife Service,288956
1,Shrub & Herb Vegetation,County Land,79424
1,Shrub & Herb Vegetation,Other or Unknown State Land,144529
1,Shrub & Herb Vegetation,State Department of Natural Resources,170450
2,Agricultural & Developed Vegetation,Bureau of Reclamation,12767
2,Agricultural & Developed Vegetation,Other or Unknown Local Government,16840
2,Agricultural & Developed Vegetation,Regional Water Districts,2720188
2,Aquatic Vegetation,Other or Unknown State Land,13
2,Aquatic Vegetation,State Department of Natural Resources,78
2,Desert & Semi-Desert,City Land,18767
2,Desert & Semi-Desert,Joint,53614
2,Desert & Semi-Desert,Unknown,87975
2,Developed & Other Human Use,Army Corps of Engineers,21445
2,Forest & Woodland,Army Corps of Engineers,249298
2,Introduced & Semi Natural Vegetation,Agricultural Research Service,56
2,Introduced & Semi Natural Vegetation,Bureau of Land Management,1451461
2,Introduced & Semi Natural Vegetation,Other or Unknown Local Government,670
2,Introduced & Semi Natural Vegetation,State Fish and Wildlife,285506
2,Introduced & Semi Natural Vegetation,State Land Board,76
2,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Land Management,11428
2,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Natural Resources,27318
2,Open Rock Vegetation,Other or Unknown State Land,35168
2,Open Rock Vegetation,Unknown,1245
2,Open Water,Army Corps of Engineers,107545
2,Open Water,County Land,93802
2,Open Water,Other,13
2,Open Water,Other or Unknown State Land,613330
2,Open Water,State Department of Natural Resources,821552
2,Polar & High Montane Scrub, Grassland & Barrens,Regional Agency Land,6
2,Polar & High Montane Scrub, Grassland & Barrens,State Department of Conservation,246
2,Recently Disturbed or Modified,Bureau of Indian Affairs,50
2,Recently Disturbed or Modified,Bureau of Land Management,369671
2,Recently Disturbed or Modified,Non-Governmental Organization,580585
2,Recently Disturbed or Modified,Regional Agency Land,5754
2,Recently Disturbed or Modified,State Land Board,6635
2,Shrub & Herb Vegetation,County Land,412364
2,Shrub & Herb Vegetation,Other,382
2,Shrub & Herb Vegetation,Other or Unknown State Land,1264786
2,Shrub & Herb Vegetation,Unknown,1315821
3,Agricultural & Developed Vegetation,Forest Service,3768824
3,Agricultural & Developed Vegetation,National Park Service,259956
3,Aquatic Vegetation,Bureau of Land Management,93234
3,Desert & Semi-Desert,American Indian Lands,2975
3,Desert & Semi-Desert,Non-Governmental Organization,819768
3,Desert & Semi-Desert,State Department of Land,9441118
3,Developed & Other Human Use,Natural Resources Conservation Service,7272
3,Developed & Other Human Use,Other or Unknown Federal Land,441
3,Developed & Other Human Use,Other or Unknown Local Government,1116
3,Developed & Other Human Use,State Department of Conservation,120164
3,Developed & Other Human Use,U.S. Fish & Wildlife Service,124658
3,Forest & Woodland,Agricultural Research Service,13961
3,Forest & Woodland,Joint,4755836
3,Forest & Woodland,State Department of Conservation,8070978
3,Forest & Woodland,State Fish and Wildlife,14007953
3,Introduced & Semi Natural Vegetation,Bureau of Reclamation,50863
3,Introduced & Semi Natural Vegetation,Forest Service,3086808
3,Introduced & Semi Natural Vegetation,National Park Service,114526
3,Introduced & Semi Natural Vegetation,Regional Agency Land,8238
1,Agricultural & Developed Vegetation,Bureau of Land Management,5921
1,Agricultural & Developed Vegetation,Non-Governmental Organization,55071
1,Agricultural & Developed Vegetation,State Land Board,471
1,Desert & Semi-Desert,U.S. Fish & Wildlife Service,9704019
1,Developed & Other Human Use,Army Corps of Engineers,4210
1,Developed & Other Human Use,Bureau of Land Management,38376
1,Developed & Other Human Use,State Land Board,45
1,Forest & Woodland,City Land,149647
1,Forest & Woodland,Other,508
1,Forest & Woodland,Regional Water Districts,52796
1,Introduced & Semi Natural Vegetation,Non-Governmental Organization,1041
1,Introduced & Semi Natural Vegetation,Other,14
1,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Land Management,4775
1,Nonvascular & Sparse Vascular Rock Vegetation,County Land,1326
1,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown State Land,1395
1,Open Rock Vegetation,Forest Service,2834720
1,Open Rock Vegetation,Joint,1276
1,Open Rock Vegetation,Private,3
1,Open Rock Vegetation,State Park and Recreation,4371
1,Open Water,Department of Defense,1
1,Open Water,Joint,5029
1,Open Water,Private,722370
1,Open Water,Tennessee Valley Authority,393
1,Polar & High Montane Scrub, Grassland & Barrens,Forest Service,32295962
1,Polar & High Montane Scrub, Grassland & Barrens,State Park and Recreation,5506
1,Recently Disturbed or Modified,Joint,3574
1,Recently Disturbed or Modified,Non-Governmental Organization,21990
1,Recently Disturbed or Modified,Unknown,20478
1,Shrub & Herb Vegetation,Department of Defense,46
1,Shrub & Herb Vegetation,Forest Service,28011068
1,Shrub & Herb Vegetation,Joint,15690
1,Shrub & Herb Vegetation,Private,291864
1,Shrub & Herb Vegetation,State Department of Conservation,30008
1,Shrub & Herb Vegetation,Unknown,56958
2,Agricultural & Developed Vegetation,Natural Resources Conservation Service,24424024
2,Agricultural & Developed Vegetation,Other,284
2,Agricultural & Developed Vegetation,State Department of Land,15621
2,Agricultural & Developed Vegetation,State Fish and Wildlife,2293587
2,Aquatic Vegetation,City Land,6
2,Desert & Semi-Desert,Bureau of Land Management,62139640
2,Desert & Semi-Desert,County Land,126772
2,Desert & Semi-Desert,Other or Unknown State Land,720895
2,Desert & Semi-Desert,Regional Agency Land,34532
2,Desert & Semi-Desert,State Department of Natural Resources,114226
2,Desert & Semi-Desert,State Land Board,11195
2,Developed & Other Human Use,National Park Service,816872
2,Developed & Other Human Use,State Department of Land,15912
2,Developed & Other Human Use,State Fish and Wildlife,644711
2,Forest & Woodland,Bureau of Reclamation,8800
2,Forest & Woodland,Forest Service,83217334
2,Forest & Woodland,Other or Unknown Local Government,111694
2,Introduced & Semi Natural Vegetation,Natural Resources Conservation Service,462480
2,Introduced & Semi Natural Vegetation,Regional Water Districts,47460
2,Introduced & Semi Natural Vegetation,State Department of Land,295
2,Nonvascular & Sparse Vascular Rock Vegetation,City Land,2193
2,Nonvascular & Sparse Vascular Rock Vegetation,Other,215
2,Nonvascular & Sparse Vascular Rock Vegetation,Unknown,9318
2,Open Rock Vegetation,County Land,1614
2,Open Rock Vegetation,U.S. Fish & Wildlife Service,1023549
2,Open Water,City Land,93916
2,Open Water,Regional Water Districts,319924
2,Polar & High Montane Scrub, Grassland & Barrens,County Land,26
2,Polar & High Montane Scrub, Grassland & Barrens,U.S. Fish & Wildlife Service,246
2,Recently Disturbed or Modified,City Land,106866
2,Recently Disturbed or Modified,Regional Water Districts,52380
2,Shrub & Herb Vegetation,City Land,178070
2,Shrub & Herb Vegetation,Regional Water Districts,1363856
2,Shrub & Herb Vegetation,U.S. Fish & Wildlife Service,7456333
3,Agricultural & Developed Vegetation,Natural Resources Conservation Service,19596
3,Agricultural & Developed Vegetation,State Department of Conservation,155738
3,Agricultural & Developed Vegetation,State Department of Land,115178
3,Agricultural & Developed Vegetation,State Fish and Wildlife,961186
3,Desert & Semi-Desert,Bureau of Land Management,475048903
3,Desert & Semi-Desert,Bureau of Reclamation,3112765
3,Desert & Semi-Desert,State Department of Natural Resources,7926924
3,Desert & Semi-Desert,State Land Board,10943404
3,Developed & Other Human Use,County Land,764525
3,Developed & Other Human Use,National Park Service,622580
3,Developed & Other Human Use,Regional Agency Land,170818
3,Developed & Other Human Use,State Fish and Wildlife,423968
3,Forest & Woodland,Department of Defense,146359
3,Forest & Woodland,Forest Service,841655982
3,Forest & Woodland,Other or Unknown Federal Land,24383
1,Agricultural & Developed Vegetation,Army Corps of Engineers,2287
1,Agricultural & Developed Vegetation,National Park Service,201392
1,Agricultural & Developed Vegetation,State Department of Natural Resources,45630
1,Aquatic Vegetation,U.S. Fish & Wildlife Service,1348
1,Desert & Semi-Desert,Regional Agency Land,138
1,Desert & Semi-Desert,State Park and Recreation,1666126
1,Developed & Other Human Use,Regional Agency Land,40
1,Developed & Other Human Use,U.S. Fish & Wildlife Service,158032
1,Forest & Woodland,State Department of Conservation,5655860
1,Introduced & Semi Natural Vegetation,Private,12360
1,Introduced & Semi Natural Vegetation,Unknown,393
1,Nonvascular & Sparse Vascular Rock Vegetation,Non-Governmental Organization,983
1,Nonvascular & Sparse Vascular Rock Vegetation,Private,2055
1,Open Rock Vegetation,City Land,23
1,Open Water,Bureau of Land Management,298267
1,Open Water,Non-Governmental Organization,19946
1,Open Water,State Land Board,10
1,Polar & High Montane Scrub, Grassland & Barrens,Other or Unknown State Land,17
1,Recently Disturbed or Modified,Army Corps of Engineers,1191
1,Recently Disturbed or Modified,Department of Defense,123
1,Recently Disturbed or Modified,Other or Unknown State Land,29475
1,Recently Disturbed or Modified,State Department of Natural Resources,37352
1,Recently Disturbed or Modified,Tennessee Valley Authority,227
1,Shrub & Herb Vegetation,Regional Agency Land,2234
1,Shrub & Herb Vegetation,State Park and Recreation,925797
1,Shrub & Herb Vegetation,U.S. Fish & Wildlife Service,2417934
2,Agricultural & Developed Vegetation,Other or Unknown State Land,1220322
2,Agricultural & Developed Vegetation,Unknown,3158877
2,Aquatic Vegetation,Non-Governmental Organization,5185
2,Desert & Semi-Desert,National Park Service,18899570
2,Desert & Semi-Desert,Regional Water Districts,239404
2,Developed & Other Human Use,Bureau of Indian Affairs,822
2,Developed & Other Human Use,Non-Governmental Organization,447984
2,Developed & Other Human Use,Other or Unknown Local Government,22400
2,Forest & Woodland,Agricultural Research Service,138
2,Forest & Woodland,Bureau of Indian Affairs,8307
2,Forest & Woodland,Non-Governmental Organization,10775337
2,Forest & Woodland,Private,3102225
2,Forest & Woodland,State Department of Land,223651
2,Introduced & Semi Natural Vegetation,Army Corps of Engineers,3125
2,Introduced & Semi Natural Vegetation,National Park Service,208340
2,Introduced & Semi Natural Vegetation,State Department of Natural Resources,1377
2,Introduced & Semi Natural Vegetation,Tennessee Valley Authority,7
2,Nonvascular & Sparse Vascular Rock Vegetation,National Park Service,121070
2,Nonvascular & Sparse Vascular Rock Vegetation,Natural Resources Conservation Service,21176
2,Nonvascular & Sparse Vascular Rock Vegetation,Regional Water Districts,28560
2,Nonvascular & Sparse Vascular Rock Vegetation,State Park and Recreation,18122
2,Nonvascular & Sparse Vascular Rock Vegetation,Tennessee Valley Authority,8
2,Open Rock Vegetation,Regional Agency Land,4
2,Open Rock Vegetation,State Fish and Wildlife,41147
2,Open Water,Natural Resources Conservation Service,3203252
2,Open Water,Other or Unknown Federal Land,499
2,Open Water,Regional Agency Land,971638
2,Open Water,State Park and Recreation,624045
2,Polar & High Montane Scrub, Grassland & Barrens,National Park Service,40818
2,Polar & High Montane Scrub, Grassland & Barrens,State Department of Natural Resources,1423
2,Recently Disturbed or Modified,Forest Service,2734150
2,Recently Disturbed or Modified,Other,71
2,Shrub & Herb Vegetation,Bureau of Indian Affairs,227
2,Shrub & Herb Vegetation,Non-Governmental Organization,6561861
2,Shrub & Herb Vegetation,Other or Unknown Local Government,3002
2,Shrub & Herb Vegetation,State Department of Land,10055
3,Agricultural & Developed Vegetation,Regional Agency Land,35394
3,Agricultural & Developed Vegetation,U.S. Fish & Wildlife Service,771584
3,Aquatic Vegetation,State Department of Natural Resources,8
3,Desert & Semi-Desert,County Land,310798
3,Desert & Semi-Desert,Other or Unknown State Land,9029757
3,Desert & Semi-Desert,Unknown,12534
3,Developed & Other Human Use,Department of Defense,45690
3,Developed & Other Human Use,Other or Unknown State Land,853673
3,Developed & Other Human Use,State Department of Natural Resources,1805518
3,Developed & Other Human Use,State Park and Recreation,511395
3,Developed & Other Human Use,Tennessee Valley Authority,132046
3,Forest & Woodland,Army Corps of Engineers,85754
3,Forest & Woodland,National Park Service,9063708
3,Forest & Woodland,Other,31081
3,Forest & Woodland,Regional Water Districts,17952176
3,Forest & Woodland,State Department of Natural Resources,40490204
3,Forest & Woodland,Tennessee Valley Authority,890180
3,Introduced & Semi Natural Vegetation,City Land,13692
3,Recently Disturbed or Modified,Private,786210
3,Recently Disturbed or Modified,Regional Water Districts,853580
3,Recently Disturbed or Modified,Tennessee Valley Authority,82221
3,Shrub & Herb Vegetation,Natural Resources Conservation Service,3144
3,Shrub & Herb Vegetation,Other or Unknown Federal Land,38
3,Shrub & Herb Vegetation,State Department of Conservation,37784
3,Shrub & Herb Vegetation,U.S. Fish & Wildlife Service,656530
4,Agricultural & Developed Vegetation,Other,156
4,Aquatic Vegetation,Bureau of Indian Affairs,316
4,Aquatic Vegetation,City Land,80
4,Desert & Semi-Desert,National Park Service,5776780
4,Desert & Semi-Desert,Non-Governmental Organization,1341455
4,Desert & Semi-Desert,Regional Agency Land,920398
4,Developed & Other Human Use,National Oceanic and Atmospheric Administration,22
4,Developed & Other Human Use,Natural Resources Conservation Service,38232
4,Developed & Other Human Use,Non-Governmental Organization,526484
4,Developed & Other Human Use,Other or Unknown Local Government,125732
4,Developed & Other Human Use,State Department of Conservation,136979
4,Forest & Woodland,Agricultural Research Service,25699
4,Forest & Woodland,American Indian Lands,130843
4,Forest & Woodland,Bureau of Indian Affairs,84185637
4,Forest & Woodland,Other or Unknown Local Government,510138
4,Forest & Woodland,State Fish and Wildlife,984902
4,Introduced & Semi Natural Vegetation,American Indian Lands,2333
4,Introduced & Semi Natural Vegetation,Bureau of Reclamation,3819
4,Introduced & Semi Natural Vegetation,Forest Service,440
4,Introduced & Semi Natural Vegetation,Regional Water Districts,2092
4,Nonvascular & Sparse Vascular Rock Vegetation,American Indian Lands,18
